Input_feature,Output_Value
0,276
0,276
0,277
0,280
0,277
0,280
0,280
0,276
0,276
0,281
0,276
0,278
0,278
0,280
0,280
0,281
0,281
0,272
0,272
0,273
0,273
0,272
0,272
0,276
0,276
0,276
0,276
0,276
0,273
0,273
0,272
0,272
0,273
0,273
0,276
0,274
0,276
0,276
0,274
0,274
0,273
0,273
0,274
0,274
0,276
0,276
0,273
0,274
0,274
0,273
17,273
17,286
17,286
17,274
17,274
0,274
0,277
0,277
0,278
0,273
0,273
0,274
0,274
0,274
0,275
0,272
0,272
0,272
0,272
0,275
0,275
0,275
0,275
0,274
0,274
0,273
0,272
0,272
0,272
0,293
0,293
0,273
0,273
0,271
0,271
0,272
0,272
0,275
0,275
0,273
0,273
0,272
0,271
0,271
0,273
0,273
0,267
0,267
0,272
0,272
0,273
0,273
0,271
0,274
0,274
0,272
0,272
0,274
0,274
0,272
0,272
0,273
0,273
0,273
0,272
0,272
0,280
0,280
0,273
0,273
0,273
0,273
0,273
0,273
0,273
0,273
0,273
0,274
0,274
0,272
0,272
0,271
0,273
0,273
0,271
0,271
0,271
0,271
0,270
0,270
0,273
0,271
0,271
0,272
0,272
0,277
0,277
0,271
0,271
0,272
0,272
0,272
0,272
0,272
0,272
0,274
0,274
0,274
0,272
0,272
0,272
0,272
0,272
0,272
0,272
0,272
0,272
0,272
0,273
0,273
0,292
0,272
0,272
0,272
0,270
0,272
0,272
0,272
0,272
0,274
0,274
0,274
0,274
0,273
0,273
0,271
0,277
0,277
0,272
0,272
0,272
0,273
0,273
0,284
0,284
0,274
0,274
0,273
0,273
0,272
0,272
0,271
0,271
0,273
0,272
0,272
0,273
0,273
0,272
0,272
0,274
0,274
0,271
0,271
0,273
0,273
0,274
0,274
0,275
0,275
0,274
0,276
0,276
0,276
0,270
0,270
0,278
0,278
0,273
0,273
0,272
0,272
0,273
0,272
0,280
0,272
0,272
0,271
0,271
0,272
0,272
0,272
0,272
0,271
0,271
0,273
0,273
0,273
0,274
0,274
0,274
0,274
0,276
0,276
0,273
0,273
0,274
0,274
0,271
0,271
0,271
0,271
0,273
0,273
0,276
0,276
0,274
0,275
0,274
0,276
0,276
0,274
0,274
0,273
0,273
0,273
0,273
0,273
0,272
0,272
0,272
0,272
0,273
0,275
0,275
0,272
0,272
0,274
0,274
0,275
0,275
0,278
0,278
0,274
0,274
0,273
0,273
0,272
0,272
0,272
0,272
0,273
0,273
0,273
0,273
0,273
0,273
0,274
0,274
0,273
0,273
0,275
0,275
0,274
0,273
0,273
0,273
0,273
0,276
0,276
0,275
0,275
0,273
0,275
0,276
0,276
0,274
0,274
0,283
0,283
0,274
0,274
0,273
0,274
0,274
0,275
0,275
0,275
0,275
0,284
0,273
0,273
0,273
0,274
0,274
0,273
0,273
0,280
0,273
0,280
0,280
0,274
0,274
0,274
0,274
0,278
0,273
0,273
0,272
0,272
0,275
0,275
0,275
0,275
0,275
0,275
0,277
0,277
0,275
0,275
0,273
0,273
0,273
0,274
0,274
0,276
0,276
0,274
0,274
0,277
0,275
0,275
0,275
0,273
0,273
0,273
0,273
0,273
0,273
0,273
0,273
0,272
0,275
0,275
0,275
0,275
0,274
0,274
0,274
0,274
0,275
0,275
0,273
0,273
0,274
0,275
0,280
0,280
0,276
0,276
0,275
0,274
0,274
0,275
0,275
0,274
0,274
0,277
0,277
0,275
0,275
0,275
0,275
0,273
0,277
0,273
0,273
0,274
0,274
0,276
0,276
0,278
0,272
0,274
0,274
0,274
0,273
0,273
0,274
0,274
0,276
0,273
0,273
0,275
0,275
0,274
0,274
0,278
0,278
0,275
0,275
0,277
0,277
0,274
0,274
0,273
0,273
0,276
0,273
0,273
0,278
0,278
0,275
0,275
0,276
0,276
0,274
0,273
0,273
0,277
0,277
0,275
0,275
0,272
0,272
0,275
0,276
0,276
0,274
0,274
0,275
0,275
0,276
0,276
0,309
0,309
0,307
0,307
0,311
0,304
0,304
0,301
0,301
0,302
0,302
0,301
0,302
0,301
0,301
0,313
0,313
0,312
0,312
0,310
0,310
0,312
0,312
0,313
0,313
0,305
0,307
0,300
0,309
0,309
0,309
0,309
0,306
0,306
0,306
0,306
0,299
0,302
0,302
0,307
0,307
0,300
0,300
0,306
0,306
0,312
0,301
0,301
0,301
0,300
0,304
0,304
0,297
0,297
0,300
0,302
0,302
0,304
0,308
0,308
0,302
0,302
0,312
0,312
0,300
0,300
0,310
0,310
0,301
0,302
0,309
0,311
0,311
0,318
0,318
0,315
0,315
0,300
0,300
0,309
0,309
0,310
0,301
0,301
0,306
0,306
0,306
0,309
0,309
0,312
0,312
0,312
0,312
0,298
0,310
0,304
0,304
0,308
0,308
0,310
0,310
0,304
0,304
0,309
0,309
0,307
0,307
0,313
0,313
0,311
0,311
0,312
0,309
0,309
0,309
0,305
0,305
0,305
0,305
0,302
0,310
0,307
0,307
0,301
0,301
0,306
0,310
0,300
0,387
110,387
110,383
101,383
101,378
101,378
101,380
98,380
98,392
96,392
96,375
95,375
95,374
95,370
93,370
93,376
88,376
88,369
88,369
88,372
88,372
88,372
88,372
88,366
88,366
88,372
88,367
89,378
89,367
89,367
89,372
89,372
89,367
90,367
90,376
90,376
90,382
90,369
90,378
91,378
91,369
91,369
91,371
91,371
91,374
91,367
91,374
90,374
90,380
90,380
90,369
91,369
91,372
91,371
91,371
91,382
90,382
90,380
90,380
90,369
91,370
91,370
91,370
91,376
91,376
91,380
90,379
90,372
92,372
92,369
90,369
90,375
90,375
90,374
89,374
89,372
89,372
89,375
89,375
89,372
90,371
90,371
89,371
89,375
90,375
90,378
90,378
90,367
90,367
90,370
90,378
89,378
89,371
89,371
89,377
89,377
89,372
89,372
89,385
89,385
89,385
89,375
89,375
89,369
88,369
88,380
89,380
89,378
88,378
88,368
89,368
89,368
88,377
88,370
88,370
88,371
87,371
87,377
88,377
88,370
88,370
88,368
88,374
88,374
88,367
89,367
89,371
88,371
88,370
88,370
88,381
88,381
88,375
88,374
88,374
88,374
88,374
88,374
88,374
88,377
88,369
88,369
88,376
88,376
88,370
88,370
88,376
87,372
88,374
87,374
87,374
87,383
87,383
87,368
86,368
86,367
87,367
87,368
88,368
88,372
88,376
87,376
87,371
86,371
86,379
87,379
87,370
87,375
87,375
87,371
87,371
87,369
86,369
85,369
85,308
0,304
0,312
0,312
0,311
0,311
0,306
0,306
0,313
0,313
0,308
0,308
0,315
0,315
0,307
0,304
0,315
0,315
0,313
0,313
0,304
0,304
0,310
0,310
0,299
0,299
0,306
0,305
0,302
0,302
0,308
0,308
0,302
0,302
0,302
0,302
0,301
0,301
0,300
0,300
0,310
0,310
0,301
0,310
0,307
0,310
0,310
0,311
0,311
0,307
0,307
0,302
0,316
0,316
0,305
0,305
0,316
0,316
0,305
0,305
0,309
0,312
0,312
0,301
0,301
0,304
0,304
0,313
0,313
0,316
0,316
0,305
0,308
0,308
0,309
0,302
0,302
0,312
0,312
0,313
0,313
0,315
0,315
0,315
0,308
0,308
0,304
0,304
0,304
0,304
